"Year (time)","Geographic Area Name (NAME)","Meaning of Survey Component (SVY_COMP_LABEL)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE)","Meaning of Type of Government (GOVTYPE_LABEL)","Amount (AMOUNT)","Coefficent of Variation for Amount (percent) (AMOUNT_CV)"
"2023","Alaska","Annual Survey of State and Local Finance","LF0145","Expenditure - Direct Expenditure - General Expenditure - Air Transportation (Airports) - Capital Outlay","001","State and Local","123,706","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0146","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Total Expenditure","001","State and Local","6,346","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0147","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Current Operations","001","State and Local","6,020","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0148","Expenditure - Direct Expenditure - General Expenditure - Parking Facilities - Capital Outlay","001","State and Local","326","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0149","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Total Expenditure","001","State and Local","132,164","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0150","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Current Operations","001","State and Local","60,700","0.70"
"2023","Alaska","Annual Survey of State and Local Finance","LF0151","Expenditure - Direct Expenditure - General Expenditure - Sea and Inland Port Facilities - Capital Outlay","001","State and Local","71,463","1.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0152","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Total Expenditure","001","State and Local","483,012","0.30"
"2023","Alaska","Annual Survey of State and Local Finance","LF0153","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Current Operations","001","State and Local","458,717","0.30"
"2023","Alaska","Annual Survey of State and Local Finance","LF0154","Expenditure - Direct Expenditure - General Expenditure - Police Protection - Capital Outlay","001","State and Local","24,295","1.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0155","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Total Expenditure","001","State and Local","283,421","1.60"
"2023","Alaska","Annual Survey of State and Local Finance","LF0156","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Current Operations","001","State and Local","258,722","1.70"
"2023","Alaska","Annual Survey of State and Local Finance","LF0157","Expenditure - Direct Expenditure - General Expenditure - Fire Protection - Capital Outlay","001","State and Local","24,698","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0158","Expenditure - Direct Expenditure - General Expenditure - Correction - Total Expenditure","001","State and Local","472,673","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0159","Expenditure - Direct Expenditure - General Expenditure - Correction - Current Operations","001","State and Local","465,778","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0160","Expenditure - Direct Expenditure - General Expenditure - Correction - Capital Outlay","001","State and Local","6,895","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0161","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Total Expenditure","001","State and Local","48,806","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0162","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Current Operations","001","State and Local","48,710","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0163","Expenditure - Direct Expenditure - General Expenditure - Protective Inspection & Regulation - Capital Outlay","001","State and Local","96","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0164","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Total Expenditure","001","State and Local","455,236","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0165","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Current Operations","001","State and Local","423,396","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0166","Expenditure - Direct Expenditure - General Expenditure - Natural Resources - Capital Outlay","001","State and Local","31,840","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0167","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Total Expenditure","001","State and Local","123,612","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0168","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Current Operations","001","State and Local","96,716","1.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0169","Expenditure - Direct Expenditure - General Expenditure - Parks and Recreation - Capital Outlay","001","State and Local","26,896","0.30"
"2023","Alaska","Annual Survey of State and Local Finance","LF0170","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Total Expenditure","001","State and Local","336,362","2.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0171","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Current Operations","001","State and Local","284,611","1.50"
"2023","Alaska","Annual Survey of State and Local Finance","LF0172","Expenditure - Direct Expenditure - General Expenditure - Housing and Community Development - Capital Outlay","001","State and Local","51,751","13.60"
"2023","Alaska","Annual Survey of State and Local Finance","LF0173","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Total Expenditure","001","State and Local","139,019","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0174","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Current Operations","001","State and Local","90,396","1.20"
"2023","Alaska","Annual Survey of State and Local Finance","LF0175","Expenditure - Direct Expenditure - General Expenditure - Sewerage - Capital Outlay","001","State and Local","48,623","0.50"
"2023","Alaska","Annual Survey of State and Local Finance","LF0176","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Total Expenditure","001","State and Local","180,869","0.90"
"2023","Alaska","Annual Survey of State and Local Finance","LF0177","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Current Operations","001","State and Local","115,764","1.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0178","Expenditure - Direct Expenditure - General Expenditure - Solid Waste Management - Capital Outlay","001","State and Local","65,105","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0179","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Total Expenditure","001","State and Local","417,155","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0180","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Current Operations","001","State and Local","415,186","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0181","Expenditure - Direct Expenditure - General Expenditure - Financial Administration - Capital Outlay","001","State and Local","1,969","1.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0182","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Total Expenditure","001","State and Local","315,803","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0183","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Current Operations","001","State and Local","305,409","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0184","Expenditure - Direct Expenditure - General Expenditure - Judicial and Legal - Capital Outlay","001","State and Local","10,394","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0185","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Total Expenditure","001","State and Local","32,895","3.70"
"2023","Alaska","Annual Survey of State and Local Finance","LF0186","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Current Operations","001","State and Local","29,940","4.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0187","Expenditure - Direct Expenditure - General Expenditure - General Public Buildings - Capital Outlay","001","State and Local","2,955","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0188","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Total Expenditure","001","State and Local","309,497","1.20"
"2023","Alaska","Annual Survey of State and Local Finance","LF0189","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Current Operations","001","State and Local","302,282","1.30"
"2023","Alaska","Annual Survey of State and Local Finance","LF0190","Expenditure - Direct Expenditure - General Expenditure - Other Governmental Administration - Capital Outlay","001","State and Local","7,215","1.70"
"2023","Alaska","Annual Survey of State and Local Finance","LF0191","Expenditure - Direct Expenditure - General Expenditure - Interest on General Debt","001","State and Local","249,893","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0192","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Total Expenditures","001","State and Local","318,738","0.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0193","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Current Operations","001","State and Local","206,925","0.60"
"2023","Alaska","Annual Survey of State and Local Finance","LF0194","Expenditure - Direct Expenditure - General Expenditure - Miscellaneous Commercial Activities - Capital Outlay","001","State and Local","111,813","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0195","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Total Expenditures","001","State and Local","714,120","0.90"
"2023","Alaska","Annual Survey of State and Local Finance","LF0196","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Current Operations","001","State and Local","576,266","1.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0197","Expenditure - Direct Expenditure - General Expenditure - Other and Unallocable - Capital Outlay","001","State and Local","137,855","0.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0198","Expenditure - Direct Expenditure - Utility Expenditure - Total Expenditure","001","State and Local","534,933","1.60"
"2023","Alaska","Annual Survey of State and Local Finance","LF0199","Expenditure - Direct Expenditure - Utility Expenditure - Current Operations","001","State and Local","412,057","1.80"
"2023","Alaska","Annual Survey of State and Local Finance","LF0200","Expenditure - Direct Expenditure - Utility Expenditure - Capital Outlay","001","State and Local","101,202","4.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0201","Expenditure - Direct Expenditure - Utility Expenditure - Interest on Debt","001","State and Local","21,674","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0202","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Total Expenditure","001","State and Local","145,735","3.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0203","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Current Operations","001","State and Local","80,573","3.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0204","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Capital Outlay","001","State and Local","58,161","7.20"
"2023","Alaska","Annual Survey of State and Local Finance","LF0205","Expenditure - Direct Expenditure - Utility Expenditure - Water Supply - Interest on Debt","001","State and Local","7,001","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0206","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Total Expenditure","001","State and Local","243,729","2.90"
"2023","Alaska","Annual Survey of State and Local Finance","LF0207","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Current Operations","001","State and Local","208,329","3.30"
"2023","Alaska","Annual Survey of State and Local Finance","LF0208","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Capital Outlay","001","State and Local","21,480","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0209","Expenditure - Direct Expenditure - Utility Expenditure - Electric Power - Interest on Debt","001","State and Local","13,920","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0210","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Total Expenditure","001","State and Local","69,403","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0211","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Current Operations","001","State and Local","63,417","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0212","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Capital Outlay","001","State and Local","5,233","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0213","Expenditure - Direct Expenditure - Utility Expenditure - Gas Supply - Interest on Debt","001","State and Local","753","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0214","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Total Expenditure","001","State and Local","76,067","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0215","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Current Operations","001","State and Local","59,739","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0216","Expenditure - Direct Expenditure - Utility Expenditure - Transit - Capital Outlay","001","State and Local","16,328","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0218","Expenditure - Direct Expenditure - Liquor Stores - Total Expenditure","001","State and Local","6,782","1.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0219","Expenditure - Direct Expenditure - Liquor Stores - Current Operations","001","State and Local","6,782","1.40"
"2023","Alaska","Annual Survey of State and Local Finance","LF0221","Insurance Trust Expenditure - Total Expenditure","001","State and Local","1,678,353","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0222","Insurance Trust Expenditure - Unemployment Compensation - Total Expenditure","001","State and Local","52,247","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0223","Insurance Trust Expenditure - Unemployment Compensation - Benefit Payments","001","State and Local","52,247","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0224","Insurance Trust Expenditure - Unemployment Compensation - Withdrawals","001","State and Local","0","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0225","Insurance Trust Expenditure - Employee Retirement - Total Expenditure","001","State and Local","1,622,735","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0226","Insurance Trust Expenditure - Employee Retirement - Benefit Payments","001","State and Local","1,611,193","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0227","Insurance Trust Expenditure - Employee Retirement - Withdrawals","001","State and Local","11,542","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0228","Insurance Trust Expenditure - Workers Compensation","001","State and Local","3,371","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0230","Debt - Total Debt Outstanding","001","State and Local","8,639,422","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0231","Debt - Short-term Debt Outstanding","001","State and Local","138,311","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0232","Debt - Long-term Debt Outstanding","001","State and Local","8,501,111","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0234","Debt - Long-term Debt Issued","001","State and Local","943,766","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0235","Debt - Long-term Debt Retired","001","State and Local","728,167","0.10"
"2023","Alaska","Annual Survey of State and Local Finance","LF0236","Cash and Security Holdings - Total","001","State and Local","19,386,884","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0237","Cash and Security Holdings - Insurance Trust Funds","001","State and Local","19,386,884","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0238","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation","001","State and Local","1,163,978","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0239","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Held in US Treasury Accounts","001","State and Local","581,989","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0240","Cash and Security Holdings - Insurance Trust Funds - Unemployment Compensation - Other Clearing & Benefit Accounts","001","State and Local","581,989","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0241","Cash and Security Holdings - Insurance Trust Funds - Employee Retirement","001","State and Local","18,203,567","0.00"
"2023","Alaska","Annual Survey of State and Local Finance","LF0242","Cash and Security Holdings - Insurance Trust Funds - Workers Compensation","001","State and Local","19,339","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0001","Revenue - Total Revenue","001","State and Local","89,148,746","0.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0002","Revenue - Total General Revenue","001","State and Local","82,902,513","0.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0003","Revenue - General Revenue - Total Intergovernmental","001","State and Local","31,725,443","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0004","Revenue - General Revenue - Intergovernmental - From Federal Government","001","State and Local","31,725,443","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0007","Revenue - General Revenue - Total From Own Sources","001","State and Local","51,177,070","0.50"
"2023","Arizona","Annual Survey of State and Local Finance","LF0008","Revenue - General Revenue - From Own Sources - Total Taxes","001","State and Local","37,168,174","0.60"
"2023","Arizona","Annual Survey of State and Local Finance","LF0009","Revenue - General Revenue - From Own Sources - Taxes - Property","001","State and Local","9,162,312","0.50"
"2023","Arizona","Annual Survey of State and Local Finance","LF0010","Revenue - General Revenue - From Own Sources - Taxes - Total Sales & Gross Receipts","001","State and Local","20,180,323","1.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0011","Revenue - General Revenue - From Own Sources - Taxes - General Sales","001","State and Local","17,513,851","1.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0012","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Total Selective Sales","001","State and Local","2,666,472","0.40"
"2023","Arizona","Annual Survey of State and Local Finance","LF0013","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Amusement","001","State and Local","8,152","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0014","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Insurance Premiums","001","State and Local","811,228","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0015","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Motor Fuels","001","State and Local","871,594","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0016","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Alcoholic Beverages","001","State and Local","91,425","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0017","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Tobacco Products","001","State and Local","256,409","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0019","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Public Utilities Sales","001","State and Local","212,373","5.40"
"2023","Arizona","Annual Survey of State and Local Finance","LF0020","Revenue - General Revenue - From Own Sources - Taxes - Sales & Gross Receipts - Selective Sales - Other","001","State and Local","415,291","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0021","Revenue - General Revenue - From Own Sources - Taxes - Total Income Taxes","001","State and Local","6,333,356","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0022","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Individual","001","State and Local","4,779,485","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0023","Revenue - General Revenue - From Own Sources - Taxes - Income Taxes - Corporate","001","State and Local","1,553,871","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0024","Revenue - General Revenue - From Own Sources - Taxes - Alcoholic Beverages License","001","State and Local","27,721","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0025","Revenue - General Revenue - From Own Sources - Taxes - Amusement License","001","State and Local","4,715","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0026","Revenue - General Revenue - From Own Sources - Taxes - Corporation General License","001","State and Local","50,836","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0027","Revenue - General Revenue - From Own Sources - Taxes - Hunting and Fishing License","001","State and Local","44,063","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0028","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle License","001","State and Local","344,560","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0029","Revenue - General Revenue - From Own Sources - Taxes - Motor Vehicle Operator License","001","State and Local","37,948","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0030","Revenue - General Revenue - From Own Sources - Taxes - Public Utility License","001","State and Local","9,205","14.40"
"2023","Arizona","Annual Survey of State and Local Finance","LF0031","Revenue - General Revenue - From Own Sources - Taxes - Occupation & Business License, NEC","001","State and Local","219,639","5.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0032","Revenue - General Revenue - From Own Sources - Taxes - Other License","001","State and Local","423,943","3.70"
"2023","Arizona","Annual Survey of State and Local Finance","LF0033","Revenue - General Revenue - From Own Sources - Total Other Taxes","001","State and Local","329,552","0.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0034","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Death and Gift Taxes","001","State and Local","0","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0035","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Documentary & Stock Transfer","001","State and Local","108","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0036","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Severance Taxes","001","State and Local","18,526","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0037","Revenue - General Revenue - From Own Sources - Taxes - Other Taxes - Taxes NEC","001","State and Local","310,918","0.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0039","Revenue - General Revenue - From Own Sources - Total Current Charges & Miscellaneous Revenue","001","State and Local","14,008,896","0.80"
"2023","Arizona","Annual Survey of State and Local Finance","LF0040","Revenue - General Revenue - From Own Sources - Total Current Charges","001","State and Local","8,713,641","1.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0041","Revenue - General Revenue - From Own Sources - Current Charges - Total Education","001","State and Local","4,074,589","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0042","Revenue - General Revenue - From Own Sources - Current Charges - Education- Institutes of Higher Education","001","State and Local","3,660,038","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0043","Revenue - General Revenue - From Own Sources - Current Charges - Education - School Lunch Sales (Gross)","001","State and Local","92,770","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0044","Revenue - General Revenue - From Own Sources - Current Charges - Education - Elementary & Secondary School Tuition","001","State and Local","1,936","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0045","Revenue - General Revenue - From Own Sources - Current Charges - Education - Other Elementary and Secondary Education","001","State and Local","319,845","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0046","Revenue - General Revenue - From Own Sources - Current Charges - Hospital","001","State and Local","704,353","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0047","Revenue - General Revenue - From Own Sources - Current Charges - Highways","001","State and Local","37,986","1.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0048","Revenue - General Revenue - From Own Sources - Current Charges - Air Transportation (Airport)","001","State and Local","627,506","0.80"
"2023","Arizona","Annual Survey of State and Local Finance","LF0049","Revenue - General Revenue - From Own Sources - Current Charges - Parking Facilities","001","State and Local","16,289","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0051","Revenue - General Revenue - From Own Sources - Current Charges - Natural Resources","001","State and Local","184,602","4.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0052","Revenue - General Revenue - From Own Sources - Current Charges - Parks and Recreation","001","State and Local","295,428","2.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0053","Revenue - General Revenue - From Own Sources - Current Charges - Housing and Community Development","001","State and Local","32,834","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0054","Revenue - General Revenue - From Own Sources - Current Charges - Sewerage","001","State and Local","1,041,163","0.90"
"2023","Arizona","Annual Survey of State and Local Finance","LF0055","Revenue - General Revenue - From Own Sources - Current Charges - Solid Waste Management","001","State and Local","582,224","5.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0056","Revenue - General Revenue - From Own Sources - Current Charges - Miscellaneous Commercial Activities","001","State and Local","6,193","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0057","Revenue - General Revenue - From Own Sources - Current Charges - Other Charges","001","State and Local","1,110,473","8.80"
"2023","Arizona","Annual Survey of State and Local Finance","LF0058","Revenue - General Revenue - From Own Sources - Total Miscellaneous General Revenue","001","State and Local","5,295,254","0.50"
"2023","Arizona","Annual Survey of State and Local Finance","LF0059","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Interest Earnings","001","State and Local","1,908,275","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0060","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Special Assessments","001","State and Local","106,613","11.90"
"2023","Arizona","Annual Survey of State and Local Finance","LF0061","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Sale of Property","001","State and Local","474,008","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0062","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Fines and Forfeits","001","State and Local","252,736","2.80"
"2023","Arizona","Annual Survey of State and Local Finance","LF0063","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Rents","001","State and Local","161,013","1.60"
"2023","Arizona","Annual Survey of State and Local Finance","LF0064","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Royalties","001","State and Local","345","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0065","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Donations From Private Sources","001","State and Local","898,965","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0066","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue - Net Lottery Revenue","001","State and Local","392,241","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0067","Revenue - General Revenue - From Own Sources - Miscellaneous General Revenue -Other General Revenue","001","State and Local","1,101,059","2.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0068","Revenue - Utility Revenue - Total","001","State and Local","6,246,233","1.40"
"2023","Arizona","Annual Survey of State and Local Finance","LF0069","Revenue - Utility Revenue - Water Supply","001","State and Local","1,776,812","4.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0070","Revenue - Utility Revenue - Electric Power","001","State and Local","4,323,168","1.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0071","Revenue - Utility  Revenue - Gas Supply","001","State and Local","81,178","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0072","Revenue - Utility Revenue - Transit","001","State and Local","65,075","0.30"
"2023","Arizona","Annual Survey of State and Local Finance","LF0074","Insurance Trust Revenue - Total","001","State and Local","9,135,257","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0075","Insurance Trust Revenue - Unemployment Compensation - Total","001","State and Local","433,119","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0076","Insurance Trust Revenue - Unemployment Compensation - Contributions","001","State and Local","406,374","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0077","Insurance Trust Revenue - Unemployment Compensation - Interest Credited by US Government","001","State and Local","26,745","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0078","Insurance Trust Revenue - Unemployment Compensation - Federal Advances and Contributions","001","State and Local","0","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0079","Insurance Trust Revenue - Employee Retirement - Total","001","State and Local","8,702,138","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0080","Insurance Trust Revenue - Employee Retirement - Earnings on Investments","001","State and Local","918,068","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0081","Insurance Trust Revenue - Employee Retirement - Gains/Losses on Investments","001","State and Local","4,649,610","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0082","Insurance Trust Revenue - Employee Retirement - Employee Contributions","001","State and Local","1,791,500","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0083","Insurance Trust Revenue - Employee Retirement - Contributions From Other Governments","001","State and Local","230","15.10"
"2023","Arizona","Annual Survey of State and Local Finance","LF0084","Insurance Trust Revenue - Employee Retirement - Contributions From Local Governments","001","State and Local","1,342,730","0.00"
"2023","Arizona","Annual Survey of State and Local Finance","LF0089","Expenditure - Total","001","State and Local","86,057,070","0.20"
"2023","Arizona","Annual Survey of State and Local Finance","LF0090","Expenditure - Total General Expenditure","001","State and Local","79,887,410","0.10"
